frame,dff,cue,go,nogo,reward,punish,lick
89,0.6927,0,0,1,0,0,0
90,0.3945,0,0,1,0,1,1
91,1.5248,0,0,1,0,1,1
92,-0.2966,0,0,1,0,1,1
93,0.6567,0,0,0,0,1,1
94,0.8036,0,0,0,0,1,1
95,0.8369,0,0,0,0,1,1
96,2.5663,0,0,0,0,1,1
97,4.5288,0,0,0,0,1,1
98,2.1237,0,0,0,0,1,1
99,2.3446,0,0,0,0,1,1
100,0.2011,0,0,0,0,0,0
101,-0.004,0,0,0,0,1,1
102,-0.1375,0,0,0,0,1,1
103,-0.7912,0,0,0,0,1,1
104,0.3009,0,0,0,0,1,1
105,-0.5902,0,0,0,0,0,0
106,0.7093,0,0,0,0,1,1
107,-0.0145,0,0,0,0,1,1
108,3.0259,0,0,0,0,0,0
109,0.4025,0,0,0,0,0,0
110,1.2049,0,0,0,0,0,0
111,0.3675,0,0,0,0,0,0
112,0.5096,0,0,0,0,0,0
113,1.9984,0,0,0,0,0,0
114,1.979,0,0,0,0,0,0
115,0.4944,0,0,0,0,0,0
116,-1.0,0,0,0,0,0,0
117,1.3649,0,0,0,0,0,0
118,1.5384,0,0,0,0,0,0
119,0.1529,0,0,0,0,0,0
120,-0.3993,0,0,0,0,0,0
121,1.9665,0,0,0,0,0,0
122,0.5132,0,0,0,0,0,0
123,-0.6027,0,0,0,0,0,0
124,-1.0,0,0,0,0,0,0
125,-0.8138,1,1,0,0,0,0
126,-0.3653,0,1,0,0,0,0
127,-0.8287,0,1,0,0,0,0
128,-0.3655,0,1,0,0,0,0
129,1.0203,0,1,0,0,0,1
130,1.519,0,1,0,1,0,1
131,3.4646,0,1,0,0,0,1
132,5.3464,0,1,0,0,0,1
133,2.4244,0,1,0,0,0,1
134,5.1342,0,0,0,0,0,1
135,0.932,0,0,0,0,0,1
136,-0.4601,0,0,0,0,0,1
137,1.0615,0,0,0,0,0,1
138,2.693,0,0,0,0,0,1
139,4.407,0,0,0,0,0,1
140,0.3571,0,0,0,0,0,1
141,3.1583,0,0,0,0,0,1
142,-0.4243,0,0,0,0,0,1
143,-0.1701,0,0,0,0,0,0
144,2.331,0,0,0,0,0,1
145,0.1043,0,0,0,0,0,0
146,-1.0,0,0,0,0,0,0
147,-0.8289,0,0,0,0,0,0
148,-0.0634,0,0,0,0,0,0
149,-1.0,0,0,0,0,0,0
150,0.4962,0,0,0,0,0,0
151,-1.0,0,0,0,0,0,0
152,1.7577,0,0,0,0,0,0
153,-1.0,0,0,0,0,0,0
154,1.1557,0,0,0,0,0,0
155,-0.7317,0,0,0,0,0,0
156,0.4778,0,0,0,0,0,0
157,0.592,0,0,0,0,0,0
158,0.2572,0,0,0,0,0,0
159,-1.0,0,0,0,0,0,0
160,-0.7994,0,0,0,0,0,0
161,-1.0,0,0,0,0,0,0
162,1.197,0,0,0,0,0,0
163,-0.5214,0,0,0,0,0,0
164,-1.0,0,0,0,0,0,0
165,2.8086,0,0,0,0,0,0
